StudentID,Name,Gender,Department,Age,StudyHours,Attendance,Math,Physics,Programming,Average,Result,Grade
1001,Rahim,M,CSE,20,15.0,92.0,88.0,84.0,95.0,89.0,Pass,A
1002,Karim,M,MATH,21,10.0,85.0,75.0,70.0,78.0,74.33,Pass,B
1003,Anika,F,CSE,19,18.0,98.0,95.0,92.0,99.0,95.33,Pass,A
1004,Sadia,F,EEE,22,8.0,75.0,68.0,65.0,72.0,68.33,Pass,C
1005,Nusrat,F,MATH,21,12.0,88.0,82.0,80.0,85.0,82.33,Pass,A
1006,Jamal,M,BBA,23,6.0,70.0,60.0,58.0,62.0,60.0,Pass,C
1007,Rafi,M,CSE,21,20.0,95.0,91.0,89.0,98.0,92.67,Pass,A
1008,Tania,F,MATH,21,14.0,90.0,86.0,82.0,90.0,86.0,Pass,A
1009,Mim,Unknown,EEE,22,12.0,72.0,70.0,68.0,74.0,70.67,Pass,B
1010,Rasel,M,BBA,21,7.0,68.0,65.0,61.0,69.0,65.0,Pass,C
1011,Nabila,F,CSE,19,16.0,96.0,93.0,90.0,97.0,93.33,Pass,A
1012,Arif,M,MATH,21,11.0,86.5,78.0,76.0,81.0,78.33,Pass,B
1013,Sohan,M,EEE,23,13.0,81.0,74.0,72.0,76.0,74.0,Pass,B
1014,Lamia,F,BBA,22,8.0,73.0,80.5,66.0,71.0,72.5,Pass,B
1015,Fahim,M,CSE,20,19.0,99.0,97.0,95.0,100.0,97.33,Pass,A
1017,Unknown_1017,Unknown,BIO,18,12.0,86.5,80.5,73.0,88.0,80.5,Pass,A
1018,Unknown_1018,F,MATH,21,12.0,86.5,80.5,50.0,81.5,70.67,Pass,B
1019,John,M,CSE,20,12.0,84.0,85.0,73.0,79.0,79.0,Pass,B
1020,Sara,F,Unknown,21,10.0,91.0,79.0,73.0,82.0,78.0,Pass,B
